county,office,district,candidate,party,votes
ANDERSON,Attorney General,,Sam Houston,DEM,2244
ANDERSON,Attorney General,,Ken Paxton,REP,7686
ANDERSON,Attorney General,,OTHER,OTH,223
ANDREWS,Attorney General,,Sam Houston,DEM,245
ANDREWS,Attorney General,,Ken Paxton,REP,1898
ANDREWS,Attorney General,,OTHER,OTH,45
ANGELINA,Attorney General,,Sam Houston,DEM,3879
ANGELINA,Attorney General,,Ken Paxton,REP,12513
ANGELINA,Attorney General,,OTHER,OTH,258
ARANSAS,Attorney General,,Sam Houston,DEM,1416
ARANSAS,Attorney General,,Ken Paxton,REP,4396
ARANSAS,Attorney General,,OTHER,OTH,177
ARCHER,Attorney General,,Sam Houston,DEM,346
ARCHER,Attorney General,,Ken Paxton,REP,2187
ARCHER,Attorney General,,OTHER,OTH,51
ARMSTRONG,Attorney General,,Sam Houston,DEM,58
ARMSTRONG,Attorney General,,Ken Paxton,REP,498
ARMSTRONG,Attorney General,,OTHER,OTH,11
ATASCOSA,Attorney General,,Sam Houston,DEM,2507
ATASCOSA,Attorney General,,Ken Paxton,REP,4637
ATASCOSA,Attorney General,,OTHER,OTH,197
AUSTIN,Attorney General,,Sam Houston,DEM,1178
AUSTIN,Attorney General,,Ken Paxton,REP,5805
AUSTIN,Attorney General,,OTHER,OTH,124
BAILEY,Attorney General,,Sam Houston,DEM,142
BAILEY,Attorney General,,Ken Paxton,REP,827
BAILEY,Attorney General,,OTHER,OTH,12
BANDERA,Attorney General,,Sam Houston,DEM,1154
BANDERA,Attorney General,,Ken Paxton,REP,4899
BANDERA,Attorney General,,OTHER,OTH,238
BASTROP,Attorney General,,Sam Houston,DEM,6269
BASTROP,Attorney General,,Ken Paxton,REP,9395
BASTROP,Attorney General,,OTHER,OTH,1082
BAYLOR,Attorney General,,Sam Houston,DEM,154
BAYLOR,Attorney General,,Ken Paxton,REP,634
BAYLOR,Attorney General,,OTHER,OTH,21
BEE,Attorney General,,Sam Houston,DEM,2286
BEE,Attorney General,,Ken Paxton,REP,2614
BEE,Attorney General,,OTHER,OTH,155
BELL,Attorney General,,Sam Houston,DEM,14340
BELL,Attorney General,,Ken Paxton,REP,27917
BELL,Attorney General,,OTHER,OTH,1297
BEXAR,Attorney General,,Sam Houston,DEM,138211
BEXAR,Attorney General,,Ken Paxton,REP,147256
BEXAR,Attorney General,,OTHER,OTH,11363
BLANCO,Attorney General,,Sam Houston,DEM,836
BLANCO,Attorney General,,Ken Paxton,REP,2562
BLANCO,Attorney General,,OTHER,OTH,169
BORDEN,Attorney General,,Sam Houston,DEM,22
BORDEN,Attorney General,,Ken Paxton,REP,229
BORDEN,Attorney General,,OTHER,OTH,2
BOSQUE,Attorney General,,Sam Houston,DEM,929
BOSQUE,Attorney General,,Ken Paxton,REP,3786
BOSQUE,Attorney General,,OTHER,OTH,113
BOWIE,Attorney General,,Sam Houston,DEM,5751
BOWIE,Attorney General,,Ken Paxton,REP,14834
BOWIE,Attorney General,,OTHER,OTH,422
BRAZORIA,Attorney General,,Sam Houston,DEM,18798
BRAZORIA,Attorney General,,Ken Paxton,REP,41505
BRAZORIA,Attorney General,,OTHER,OTH,1693
BRAZOS,Attorney General,,Sam Houston,DEM,9142
BRAZOS,Attorney General,,Ken Paxton,REP,20936
BRAZOS,Attorney General,,OTHER,OTH,1145
BREWSTER,Attorney General,,Sam Houston,DEM,1363
BREWSTER,Attorney General,,Ken Paxton,REP,1339
BREWSTER,Attorney General,,OTHER,OTH,150
BRISCOE,Attorney General,,Sam Houston,DEM,76
BRISCOE,Attorney General,,Ken Paxton,REP,418
BRISCOE,Attorney General,,OTHER,OTH,4
BROOKS,Attorney General,,Sam Houston,DEM,1458
BROOKS,Attorney General,,Ken Paxton,REP,396
BROOKS,Attorney General,,OTHER,OTH,148
BROWN,Attorney General,,Sam Houston,DEM,1017
BROWN,Attorney General,,Ken Paxton,REP,6929
BROWN,Attorney General,,OTHER,OTH,177
BURLESON,Attorney General,,Sam Houston,DEM,1003
BURLESON,Attorney General,,Ken Paxton,REP,3081
BURLESON,Attorney General,,OTHER,OTH,81
BURNET,Attorney General,,Sam Houston,DEM,2350
BURNET,Attorney General,,Ken Paxton,REP,8933
BURNET,Attorney General,,OTHER,OTH,484
CALDWELL,Attorney General,,Sam Houston,DEM,3475
CALDWELL,Attorney General,,Ken Paxton,REP,4799
CALDWELL,Attorney General,,OTHER,OTH,487
CALHOUN,Attorney General,,Sam Houston,DEM,1316
CALHOUN,Attorney General,,Ken Paxton,REP,2600
CALHOUN,Attorney General,,OTHER,OTH,124
CALLAHAN,Attorney General,,Sam Houston,DEM,345
CALLAHAN,Attorney General,,Ken Paxton,REP,2547
CALLAHAN,Attorney General,,OTHER,OTH,72
CAMERON,Attorney General,,Sam Houston,DEM,21566
CAMERON,Attorney General,,Ken Paxton,REP,14585
CAMERON,Attorney General,,OTHER,OTH,1996
CAMP,Attorney General,,Sam Houston,DEM,762
CAMP,Attorney General,,Ken Paxton,REP,1765
CAMP,Attorney General,,OTHER,OTH,55
CARSON,Attorney General,,Sam Houston,DEM,223
CARSON,Attorney General,,Ken Paxton,REP,1567
CARSON,Attorney General,,OTHER,OTH,33
