county,office,district,candidate,party,votes
ANDERSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7814
ANDERSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1050
ANDREWS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1913
ANDREWS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,162
ANGELINA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,12870
ANGELINA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1446
ARANSAS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,4606
ARANSAS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,721
ARCHER,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2231
ARCHER,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,225
ARMSTRONG,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,500
ARMSTRONG,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,39
ATASCOSA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5064
ATASCOSA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1023
AUSTIN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5877
AUSTIN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,534
BAILEY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,828
BAILEY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,51
BANDERA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,4969
BANDERA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,857
BASTROP,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,10158
BASTROP,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,3841
BAYLOR,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,641
BAYLOR,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,71
BEE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3157
BEE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,716
BELL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,28927
BELL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,6495
BEXAR,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,167985
BEXAR,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,68396
BLANCO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2622
BLANCO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,615
BORDEN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,226
BORDEN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,10
BOSQUE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3914
BOSQUE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,479
BOWIE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,15832
BOWIE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,2758
BRAZORIA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,43312
BRAZORIA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,8802
BRAZOS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,22201
BRAZOS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,5211
BREWSTER,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1455
BREWSTER,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,851
BRISCOE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,412
BRISCOE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,48
BROOKS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,667
BROOKS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,576
BROWN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,6973
BROWN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,581
BURLESON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3162
BURLESON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,319
BURNET,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,9232
BURNET,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1446
CALDWELL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5272
CALDWELL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1949
CALHOUN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2752
CALHOUN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,564
CALLAHAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2578
CALLAHAN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,226
CAMERON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,19622
CAMERON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,9529
CAMP,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1840
CAMP,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,280
CARSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1574
CARSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,123
CASS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5181
CASS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,538
CASTRO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,890
CASTRO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,86
CHAMBERS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,6862
CHAMBERS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,694
CHEROKEE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7419
CHEROKEE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,835
CHILDRESS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,933
CHILDRESS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,73
CLAY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2310
CLAY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,216
COCHRAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,402
COCHRAN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,42
COKE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,666
COKE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,45
COLEMAN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1888
COLEMAN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,204
COLLIN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,119664
COLLIN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,31189
COLLINGSWORTH,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,610
COLLINGSWORTH,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,74
COLORADO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3898
COLORADO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,383
COMAL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,27067
COMAL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,4651
COMANCHE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2478
COMANCHE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,263
CONCHO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,494
CONCHO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,45
COOKE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7394
COOKE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,650
CORYELL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,6522
CORYELL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1080
COTTLE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,278
COTTLE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,21
CRANE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,661
CRANE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,67
CROCKETT,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,564
CROCKETT,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,81
CROSBY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,785
CROSBY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,94
CULBERSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,160
CULBERSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,52
DALLAM,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,722
DALLAM,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,73
DALLAS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,193277
DALLAS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,78744
DAWSON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1611
DAWSON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,131
DEAF SMITH,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2162
DEAF SMITH,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,231
DELTA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,1044
DELTA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,131
DENTON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,97438
DENTON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,27609
DEWITT,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3308
DEWITT,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,301
DICKENS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,428
DICKENS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,25
DIMMIT,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,667
DIMMIT,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,307
DONLEY,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,777
DONLEY,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,93
DUVAL,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,789
DUVAL,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,486
EASTLAND,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3397
EASTLAND,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,294
ECTOR,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,12123
ECTOR,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,1439
EDWARDS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,484
EDWARDS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,99
ELLIS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,24063
ELLIS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,3689
EL PASO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,35389
EL PASO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,22744
ERATH,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,6096
ERATH,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,720
FALLS,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2060
FALLS,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,305
FANNIN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5033
FANNIN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,650
FAYETTE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,5832
FAYETTE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,730
FISHER,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,758
FISHER,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,158
FLOYD,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,922
FLOYD,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,56
FOARD,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,200
FOARD,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,35
FORT BEND,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,79565
FORT BEND,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,20349
FRANKLIN,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2147
FRANKLIN,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,182
FREESTONE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,3486
FREESTONE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,380
FRIO,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,910
FRIO,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,265
GAINES,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,2175
GAINES,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,164
GALVESTON,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,42239
GALVESTON,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,9983
GARZA,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,707
GARZA,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,60
GILLESPIE,"Judge, Court of Criminal Appeals Place 9",,David Newell,REP,7144
GILLESPIE,"Judge, Court of Criminal Appeals Place 9",,OTHER,OTH,838
