county,office,district,candidate,party,votes
ANDERSON,Railroad Commissioner,,Steve Brown,DEM,2221
ANDERSON,Railroad Commissioner,,Ryan Sitton,REP,7404
ANDERSON,Railroad Commissioner,,OTHER,OTH,450
ANDREWS,Railroad Commissioner,,Steve Brown,DEM,226
ANDREWS,Railroad Commissioner,,Ryan Sitton,REP,1831
ANDREWS,Railroad Commissioner,,OTHER,OTH,106
ANGELINA,Railroad Commissioner,,Steve Brown,DEM,3694
ANGELINA,Railroad Commissioner,,Ryan Sitton,REP,12344
ANGELINA,Railroad Commissioner,,OTHER,OTH,496
ARANSAS,Railroad Commissioner,,Steve Brown,DEM,1291
ARANSAS,Railroad Commissioner,,Ryan Sitton,REP,4290
ARANSAS,Railroad Commissioner,,OTHER,OTH,336
ARCHER,Railroad Commissioner,,Steve Brown,DEM,311
ARCHER,Railroad Commissioner,,Ryan Sitton,REP,2144
ARCHER,Railroad Commissioner,,OTHER,OTH,85
ARMSTRONG,Railroad Commissioner,,Steve Brown,DEM,55
ARMSTRONG,Railroad Commissioner,,Ryan Sitton,REP,477
ARMSTRONG,Railroad Commissioner,,OTHER,OTH,22
ATASCOSA,Railroad Commissioner,,Steve Brown,DEM,2486
ATASCOSA,Railroad Commissioner,,Ryan Sitton,REP,4345
ATASCOSA,Railroad Commissioner,,OTHER,OTH,398
AUSTIN,Railroad Commissioner,,Steve Brown,DEM,1121
AUSTIN,Railroad Commissioner,,Ryan Sitton,REP,5712
AUSTIN,Railroad Commissioner,,OTHER,OTH,227
BAILEY,Railroad Commissioner,,Steve Brown,DEM,152
BAILEY,Railroad Commissioner,,Ryan Sitton,REP,793
BAILEY,Railroad Commissioner,,OTHER,OTH,29
BANDERA,Railroad Commissioner,,Steve Brown,DEM,1063
BANDERA,Railroad Commissioner,,Ryan Sitton,REP,4779
BANDERA,Railroad Commissioner,,OTHER,OTH,401
BASTROP,Railroad Commissioner,,Steve Brown,DEM,6106
BASTROP,Railroad Commissioner,,Ryan Sitton,REP,9016
BASTROP,Railroad Commissioner,,OTHER,OTH,1438
BAYLOR,Railroad Commissioner,,Steve Brown,DEM,135
BAYLOR,Railroad Commissioner,,Ryan Sitton,REP,616
BAYLOR,Railroad Commissioner,,OTHER,OTH,35
BEE,Railroad Commissioner,,Steve Brown,DEM,1997
BEE,Railroad Commissioner,,Ryan Sitton,REP,2635
BEE,Railroad Commissioner,,OTHER,OTH,361
BELL,Railroad Commissioner,,Steve Brown,DEM,13817
BELL,Railroad Commissioner,,Ryan Sitton,REP,26906
BELL,Railroad Commissioner,,OTHER,OTH,2233
BEXAR,Railroad Commissioner,,Steve Brown,DEM,135348
BEXAR,Railroad Commissioner,,Ryan Sitton,REP,140256
BEXAR,Railroad Commissioner,,OTHER,OTH,19006
BLANCO,Railroad Commissioner,,Steve Brown,DEM,766
BLANCO,Railroad Commissioner,,Ryan Sitton,REP,2494
BLANCO,Railroad Commissioner,,OTHER,OTH,267
BORDEN,Railroad Commissioner,,Steve Brown,DEM,16
BORDEN,Railroad Commissioner,,Ryan Sitton,REP,225
BORDEN,Railroad Commissioner,,OTHER,OTH,4
BOSQUE,Railroad Commissioner,,Steve Brown,DEM,895
BOSQUE,Railroad Commissioner,,Ryan Sitton,REP,3664
BOSQUE,Railroad Commissioner,,OTHER,OTH,230
BOWIE,Railroad Commissioner,,Steve Brown,DEM,5580
BOWIE,Railroad Commissioner,,Ryan Sitton,REP,14165
BOWIE,Railroad Commissioner,,OTHER,OTH,957
BRAZORIA,Railroad Commissioner,,Steve Brown,DEM,18085
BRAZORIA,Railroad Commissioner,,Ryan Sitton,REP,40607
BRAZORIA,Railroad Commissioner,,OTHER,OTH,2611
BRAZOS,Railroad Commissioner,,Steve Brown,DEM,8086
BRAZOS,Railroad Commissioner,,Ryan Sitton,REP,20939
BRAZOS,Railroad Commissioner,,OTHER,OTH,1667
BREWSTER,Railroad Commissioner,,Steve Brown,DEM,1244
